overlap_fraction,overlap_percent,pair_name,expected_shift,best_shift,signed_error,abs_error,peak_corr,status
0.85,85.0,pair_08,30.000000000000004,30.0,-3.552713678800501e-15,3.552713678800501e-15,222.11155366897583,ok
0.85,85.0,pair_09,30.000000000000004,30.0,-3.552713678800501e-15,3.552713678800501e-15,222.6861088871956,ok
0.85,85.0,pair_10,30.000000000000004,30.0,-3.552713678800501e-15,3.552713678800501e-15,222.3887718319893,ok
0.85,85.0,pair_11,30.000000000000004,29.0,-1.0000000000000036,1.0000000000000036,222.18882012367249,ok
0.85,85.0,pair_12,30.000000000000004,29.0,-1.0000000000000036,1.0000000000000036,222.71398437023163,ok
0.85,85.0,pair_13,30.000000000000004,29.0,-1.0000000000000036,1.0000000000000036,222.2434476017952,ok
0.85,85.0,pair_14,30.000000000000004,29.0,-1.0000000000000036,1.0000000000000036,222.1450822353363,ok
0.85,85.0,pair_15,30.000000000000004,29.0,-1.0000000000000036,1.0000000000000036,222.10353112220764,ok
0.85,85.0,pair_16,30.000000000000004,30.0,-3.552713678800501e-15,3.552713678800501e-15,222.5468783378601,ok
0.86,86.0,pair_00,28.000000000000004,28.0,-3.552713678800501e-15,3.552713678800501e-15,222.9824733734131,ok
0.88,88.0,pair_00,24.0,24.0,0.0,0.0,223.07271867990494,ok
0.9,90.0,pair_02,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.57890129089355,ok
0.9,90.0,pair_03,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.96998006105423,ok
0.9,90.0,pair_04,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.57890129089355,ok
0.9,90.0,pair_05,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.96998006105423,ok
0.9,90.0,pair_06,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.587267100811,ok
0.9,90.0,pair_07,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.13988363742828,ok
0.9,90.0,pair_08,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.721617937088,ok
0.9,90.0,pair_09,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.4545681476593,ok
0.9,90.0,pair_10,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.39730775356293,ok
0.9,90.0,pair_11,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.41433107852936,ok
0.9,90.0,pair_12,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.42476320266724,ok
0.9,90.0,pair_13,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.32353299856186,ok
0.9,90.0,pair_14,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.2823679447174,ok
0.9,90.0,pair_15,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.55924940109253,ok
0.9,90.0,pair_16,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.3843868970871,ok
0.9,90.0,pair_17,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.6190209388733,ok
0.9,90.0,pair_18,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.5130273103714,ok
0.9,90.0,pair_19,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.4593237042427,ok
0.9,90.0,pair_20,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.57594639062881,ok
0.9,90.0,pair_21,19.999999999999996,20.0,3.552713678800501e-15,3.552713678800501e-15,223.0819182395935,ok
0.92,92.0,pair_00,15.999999999999993,16.0,7.105427357601002e-15,7.105427357601002e-15,220.4872390627861,ok
0.94,94.0,pair_00,12.00000000000001,12.0,-1.0658141036401503e-14,1.0658141036401503e-14,224.01139843463898,ok
0.95,95.0,pair_00,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.2397449016571,ok
0.95,95.0,pair_01,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.53040570020676,ok
0.95,95.0,pair_02,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.39612543582916,ok
0.95,95.0,pair_03,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.18695133924484,ok
0.95,95.0,pair_04,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.10300660133362,ok
0.95,95.0,pair_05,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.36209672689438,ok
0.95,95.0,pair_06,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.42462837696075,ok
0.95,95.0,pair_07,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.12793213129044,ok
0.95,95.0,pair_08,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.08065158128738,ok
0.95,95.0,pair_09,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.26390117406845,ok
0.95,95.0,pair_10,10.000000000000009,10.0,-8.881784197001252e-15,8.881784197001252e-15,224.27651411294937,ok
