shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10
67,214.96594041585922,219.72475093603134,217.1301606297493,215.64613062143326,213.93000447750092,217.10589534044266,217.74360609054565,213.9216672182083,213.99004995822906,215.6008198261261,216.60774320363998
68,214.94268077611923,219.72404617071152,217.1280900835991,215.6359812617302,213.9097797870636,217.12602144479752,217.76018625497818,213.96533334255219,214.0024797320366,215.57482314109802,216.6045515537262
69,214.9164724946022,219.72229552268982,217.12869197130203,215.62997710704803,213.88899528980255,217.1421115398407,217.77631026506424,214.0111620426178,214.01626700162888,215.55148869752884,216.60166293382645
70,214.88856554031372,219.71977525949478,217.13132613897324,215.62802582979202,213.87010365724564,217.15418976545334,217.79109513759613,214.057466506958,214.03104776144028,215.53105944395065,216.59893929958344
71,214.86056876182556,219.7169571518898,217.1352283358574,215.62999629974365,213.8553884625435,217.16282850503922,217.80377393960953,214.10271447896957,214.0470279455185,215.51366436481476,216.5961434841156
72,214.83357256650925,219.71422761678696,217.13947850465775,215.63601100444794,213.84648770093918,217.16897058486938,217.8136243224144,214.14550304412842,214.06469029188156,215.49948859214783,216.59275794029236
73,214.80861043930054,219.71157145500183,217.14315432310104,215.6461147069931,213.84445482492447,217.17328959703445,217.82030588388443,214.18472039699554,214.08445638418198,215.488755941391,216.58822333812714
74,214.78671836853027,219.70877665281296,217.14537131786346,215.66035437583923,213.84947216510773,217.17655211687088,217.82402229309082,214.21956276893616,214.106398999691,215.48150670528412,216.5822589993477
75,214.7688791155815,219.70555418729782,217.1455162167549,215.6787964105606,213.8610256910324,217.17898964881897,217.82540142536163,214.24940484762192,214.13011628389359,215.4773256778717,216.57434433698654
76,214.7556145787239,219.70164346694946,217.14360469579697,215.7015296816826,213.87792885303497,217.18077790737152,217.8253111243248,214.27349197864532,214.15500485897064,215.4754918217659,216.56398677825928
77,214.74715560674667,219.6968407034874,217.1403710246086,215.72823756933212,213.89818131923676,217.18243592977524,217.82472676038742,214.29085022211075,214.17992252111435,215.47505831718445,216.551183283329
78,214.74361181259155,219.69083607196808,217.1371932029724,215.7576608657837,213.91913443803787,217.1840904355049,217.8249210715294,214.30087649822235,214.20346587896347,215.4754460453987,216.53624093532562
79,214.7447548508644,219.68330550193787,217.1355595588684,215.78842836618423,213.93823385238647,217.18519562482834,217.82693493366241,214.30337607860565,214.224205493927,215.47654807567596,216.51965326070786
80,214.750019967556,219.67444717884064,217.13612586259842,215.8191276192665,213.95329570770264,217.1850661635399,217.83134931325912,214.29841095209122,214.24115186929703,215.47898185253143,216.50210916996002
81,214.7581531405449,219.66494476795197,217.1386998295784,215.84813177585602,213.96338027715683,217.18270993232727,217.83792454004288,214.28629821538925,214.25405931472778,215.4837532043457,216.48457729816437
82,214.76776963472366,219.65547770261765,217.1424572467804,215.87377244234085,213.96880757808685,217.1769158244133,217.84502977132797,214.26756674051285,214.26297587156296,215.4916422367096,216.46789467334747
83,214.77769511938095,219.6466941833496,217.14614444971085,215.894721865654,213.97060239315033,217.16696792840958,217.8510558605194,214.2426171898842,214.26762717962265,215.50276738405228,216.45271652936935
84,214.78657376766205,219.6389547586441,217.14831030368805,215.9103388786316,213.96915763616562,217.1527847647667,217.85489201545715,214.2122712135315,214.2681554555893,215.51669800281525,216.43986159563065
85,214.79242473840714,219.63248080015182,217.14782589673996,215.92065089941025,213.9650617837906,217.13457280397415,217.85580348968506,214.17802143096924,214.26546919345856,215.5329585671425,216.42982858419418
86,214.79375886917114,219.62747687101364,217.14409905672073,215.9260369539261,213.9596545100212,217.11268782615662,217.85356628894806,214.14108473062515,214.2603412270546,215.55069887638092,216.42257100343704
87,214.79012829065323,219.6238487958908,217.1370661854744,215.9271566271782,213.95454466342926,217.08776307106018,217.84845620393753,214.1023067831993,214.2534355521202,215.56896489858627,216.41758596897125
88,214.78190392255783,219.6214679479599,217.127117395401,215.92488580942154,213.9502997994423,217.06054627895355,217.84107089042664,214.06223994493484,214.2454051375389,215.58681166172028,216.41407281160355
89,214.77022033929825,219.62026691436768,217.11458694934845,215.92009568214417,213.94719326496124,217.0318964123726,217.8319303393364,214.02100360393524,214.23742145299911,215.60285061597824,216.4116502404213
90,214.7560457587242,219.62000042200089,217.09958291053772,215.9136591553688,213.9456707239151,217.0023214817047,217.82170498371124,213.97896599769592,214.23078936338425,215.61603462696075,216.4105867743492
91,214.7396280169487,219.62045431137085,217.0826711654663,215.9065437912941,213.94567531347275,216.97264164686203,217.81132590770721,213.93696874380112,214.22663003206253,215.62584954500198,216.4111499786377
92,214.72082382440567,219.62153005599976,217.0648097395897,215.89992082118988,213.94717639684677,216.94391733407974,217.80166471004486,213.89610928297043,214.2255695462227,215.63210541009903,216.41328710317612
93,214.6994308233261,219.62300151586533,217.04681998491287,215.89472395181656,213.950188934803,216.9171170592308,217.79353219270706,213.85745859146118,214.2278777360916,215.63519912958145,216.41643351316452
94,214.67548674345016,219.62434458732605,217.02944976091385,215.89140009880066,213.95473033189774,216.89217829704285,217.78758263587952,213.82180404663086,214.23362970352173,215.63674592971802,216.42034780979156
95,214.6497681736946,219.62470096349716,217.01409059762955,215.88977020978928,213.9604987502098,216.86952620744705,217.78439849615097,213.7901536822319,214.24219232797623,215.63815772533417,216.4249102473259
96,214.62394207715988,219.62329655885696,217.00206631422043,215.88965946435928,213.96747028827667,216.84971165657043,217.78402692079544,213.76378452777863,214.2530518770218,215.6410248875618,216.43050545454025
