shift,pair_00,pair_01,pair_02
77,216.92330867052078,216.1581517457962,218.57612705230713
78,216.8971226811409,216.15730744600296,218.56156700849533
79,216.86912542581558,216.15517926216125,218.54707419872284
80,216.83950805664062,216.15168541669846,218.53317844867706
81,216.80858999490738,216.14711779356003,218.5201010107994
82,216.7769061923027,216.14145171642303,218.50791388750076
83,216.74505925178528,216.13455325365067,218.4966003894806
84,216.7137367129326,216.12639224529266,218.48563718795776
85,216.6837102174759,216.11714726686478,218.47439473867416
86,216.65579521656036,216.10687667131424,218.46233355998993
87,216.63078993558884,216.0952735543251,218.44929283857346
88,216.60915499925613,216.08214437961578,218.4358743429184
89,216.5916132926941,216.06731313467026,218.4231304526329
90,216.57945424318314,216.05031180381775,218.41199654340744
91,216.57396459579468,216.03070944547653,218.40288829803467
92,216.57588893175125,216.00822687149048,218.3961238861084
93,216.5845075249672,215.9827556014061,218.39195084571838
94,216.5985388159752,215.9542772769928,218.3899354338646
95,216.617049574852,215.92338919639587,218.38936972618103
96,216.63946211338043,215.89097201824188,218.3892963528633
97,216.66547340154648,215.8575994372368,218.3891059756279
98,216.6939913034439,215.82428014278412,218.3883621096611
99,216.72389483451843,215.7925655245781,218.38686335086823
100,216.754039645195,215.76353573799133,218.38457429409027
101,216.78335911035538,215.73798990249634,218.38139027357101
102,216.81067103147507,215.7171609401703,218.37713450193405
103,216.83522456884384,215.70157432556152,218.37197279930115
104,216.85637038946152,215.69136369228363,218.36642104387283
105,216.8731889128685,215.68586748838425,218.36076301336288
106,216.88513106107712,215.6839937567711,218.3550130724907
107,216.8913791179657,215.68432265520096,218.3491553068161
108,216.89191430807114,215.68499505519867,218.34357106685638
109,216.8864266872406,215.68582594394684,218.33848571777344
110,216.8743566274643,215.68647718429565,218.3340824842453
111,216.8548562526703,215.68653440475464,218.3310490846634
112,216.82750356197357,215.68623453378677,218.32997304201126
113,216.79300600290298,215.68562507629395,218.33172595500946
114,216.75271904468536,215.68464833498,218.33707720041275
115,216.7079227566719,215.68224668502808,218.34624081850052
116,216.66002571582794,215.6754012107849,218.35847854614258
117,216.6105279326439,215.66299325227737,218.37308102846146
118,216.5606705546379,215.6452723145485,218.3893570303917
119,216.5115777850151,215.62345123291016,218.40722715854645
120,216.46343940496445,215.59905183315277,218.42685240507126
121,216.41588431596756,215.5733750462532,218.44845336675644
122,216.36918473243713,215.54718339443207,218.47187691926956
123,216.3245222568512,215.52083337306976,218.4964264035225
124,216.28277391195297,215.494599878788,218.52110195159912
125,216.24394762516022,215.46867579221725,218.5447371006012
126,216.20833903551102,215.44334322214127,218.5659773349762
127,216.17631590366364,215.41899812221527,218.58295226097107
128,216.14761167764664,215.39603358507156,218.59426629543304
129,216.1222613453865,215.37509727478027,218.59898668527603
130,216.10076141357422,215.3569945693016,218.59686756134033
131,216.08410388231277,215.34191769361496,218.5880805850029
132,216.07280325889587,215.32974404096603,218.5727038383484
133,216.06647861003876,215.32059109210968,218.5511491894722
134,216.06458920240402,215.3144161105156,218.5250598192215
135,216.0661968588829,215.3103164434433,218.4965192079544
136,216.07042515277863,215.3078848719597,218.46716451644897
137,216.07641357183456,215.3072333931923,218.43867182731628
138,216.0834789276123,215.3078637123108,218.41307699680328
139,216.09152162075043,215.30882060527802,218.39145529270172
140,216.10027933120728,215.30954241752625,218.3744844198227
141,216.11048245429993,215.3100203871727,218.3632174730301
142,216.12372201681137,215.3105789422989,218.357928276062
143,216.14174592494965,215.31158411502838,218.35790747404099
144,216.1656225323677,215.31429255008698,218.361745595932
145,216.1962508559227,215.31947654485703,218.36797440052032
146,216.23411095142365,215.327643096447,218.3756729364395
147,216.27906399965286,215.33762323856354,218.38404124975204
148,216.3305150270462,215.34843564033508,218.39272767305374
149,216.38706010580063,215.36105036735535,218.40219908952713
150,216.44625049829483,215.375346660614,218.4133889079094
151,216.5044674873352,215.39082622528076,218.4268279671669
152,216.55921739339828,215.40712583065033,218.44246619939804
153,216.6085592508316,215.42296832799911,218.4601492881775
154,216.6516051888466,215.43721050024033,218.48008847236633
155,216.6893494129181,215.4500258564949,218.50244027376175
156,216.72318691015244,215.46300047636032,218.52678453922272
157,216.7559940814972,215.4790157675743,218.5531970858574
158,216.79220008850098,215.5018385052681,218.583125770092
159,216.8366278409958,215.53542506694794,218.6198371052742
160,216.89480006694794,215.58531719446182,218.66678667068481
161,216.97160321474075,215.65694147348404,218.72676265239716
162,217.0719702243805,215.7556573152542,218.80317264795303
163,217.1997994184494,215.88721066713333,218.89905017614365
164,217.358051776886,216.05703580379486,219.01649963855743
165,217.54894864559174,216.26853895187378,219.15822595357895
166,217.77207571268082,216.5218294262886,219.3252630829811
167,218.02694845199585,216.81396353244781,219.51723843812943
168,218.3115255832672,217.13922494649887,219.73231786489487
169,218.61711740493774,217.49088323116302,219.967191696167
170,218.9341686964035,217.86001539230347,220.217358648777
171,219.25332301855087,218.2323044538498,220.47636657953262
172,219.56444895267487,218.59270077943802,220.73559933900833
173,219.85466235876083,218.92655462026596,220.98308545351028
174,220.11115044355392,219.21801793575287,221.20587956905365
175,220.3200097680092,219.4504622220993,221.39180636405945
176,220.4702160358429,219.60827827453613,221.5304936170578
177,220.5536309480667,219.6788485646248,221.61517214775085
178,220.56685608625412,219.6565364599228,221.64240139722824
179,220.51074850559235,219.54646182060242,221.6117469072342
180,220.3917418718338,219.36122399568558,221.52737349271774
