shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12
-127,217.73742043972015,215.77636390924454,216.85374808311462,216.19925898313522,217.47045385837555,215.5447662472725,218.4447910785675,215.3149715065956,216.86693835258484,214.80168282985687,216.14305591583252,214.76761144399643,214.0114471912384
-126,217.78006953001022,215.7913908958435,216.87283384799957,216.25085949897766,217.4871006011963,215.53285557031631,218.4290766119957,215.30388259887695,216.87232369184494,214.83041036128998,216.13103955984116,214.777812063694,213.99150627851486
-125,217.81552374362946,215.81149923801422,216.89230734109879,216.2998834848404,217.5039814710617,215.51606953144073,218.40639597177505,215.29966777563095,216.88052648305893,214.86482256650925,216.118814766407,214.79476302862167,213.9753621816635
-124,217.84232926368713,215.8356820344925,216.91108548641205,216.3446850180626,217.52068156003952,215.4952694773674,218.37688332796097,215.30104172229767,216.89010655879974,214.90264070034027,216.10690236091614,214.8176121711731,213.96266078948975
-123,217.85973739624023,215.86279273033142,216.92852437496185,216.3843076825142,217.53664577007294,215.47178089618683,218.34151703119278,215.30604749917984,216.89994949102402,214.94139790534973,216.09605491161346,214.84542322158813,213.95279145240784
-122,217.86794245243073,215.89200693368912,216.94447576999664,216.41886740922928,217.55230939388275,215.4470381140709,218.3020851612091,215.31377291679382,216.9091665148735,214.97893512248993,216.08701533079147,214.87700444459915,213.94535386562347
-121,217.8676792383194,215.92169284820557,216.95929318666458,216.4494104385376,217.5677169561386,215.42232352495193,218.26147359609604,215.32280802726746,216.91740363836288,215.01365333795547,216.07960319519043,214.91131001710892,213.93990671634674
-120,217.86013108491898,215.94959449768066,216.97273498773575,216.47738313674927,217.58214408159256,215.39856696128845,218.22255450487137,215.33186429738998,216.92445468902588,215.04460579156876,216.07348442077637,214.9473649263382,213.93617725372314
-119,217.84693336486816,215.97350496053696,216.98476403951645,216.50408416986465,217.59443759918213,215.37634229660034,218.18719440698624,215.33999687433243,216.93073654174805,215.07164806127548,216.06868755817413,214.98455107212067,213.9354292154312
-118,217.82990729808807,215.99197858572006,216.99588131904602,216.53053551912308,217.6039155125618,215.35612726211548,218.1568410396576,215.34708660840988,216.9366512298584,215.09567946195602,216.0655351281166,215.02076470851898,213.93976879119873
-117,217.8109233379364,216.00415217876434,217.00641977787018,216.55725061893463,217.61024004220963,215.33802872896194,218.13234812021255,215.35378921031952,216.94264394044876,215.1177909374237,216.06409358978271,215.0532820224762,213.95059925317764
-116,217.7908609509468,216.0094075202942,217.0164691209793,216.584623336792,217.61381846666336,215.32200437784195,218.1137067079544,215.36043030023575,216.9482066631317,215.14002394676208,216.064120054245,215.07989645004272,213.9691118001938
-115,217.77009761333466,216.00876361131668,217.02616494894028,216.61317086219788,217.61560547351837,215.30871480703354,218.10079926252365,215.3670710325241,216.9530075788498,215.16494929790497,216.06570434570312,215.0998558998108,213.99617213010788
-114,217.7492352128029,216.00468665361404,217.03571391105652,216.64310121536255,217.6163295507431,215.29878586530685,218.09359163045883,215.37334722280502,216.956696331501,215.1947956085205,216.06853663921356,215.1140038371086,214.03173476457596
-113,217.72953748703003,216.00101840496063,217.04507863521576,216.67418539524078,217.61642974615097,215.29259890317917,218.09172528982162,215.3781915307045,216.9586682319641,215.23013305664062,216.07228565216064,215.1229739189148,214.07526803016663
-112,217.71220183372498,216.00130879878998,217.0539926290512,216.70554774999619,217.61600494384766,215.29119765758514,218.09479612112045,215.38039058446884,216.95845711231232,215.27065914869308,216.07649606466293,215.12803399562836,214.1248015165329
-111,217.6982497572899,216.00815135240555,217.06180661916733,216.73619717359543,217.61534225940704,215.29587358236313,218.1024813055992,215.3791184425354,216.95576167106628,215.31498193740845,216.08080399036407,215.13142758607864,214.1778855919838
-110,217.68891423940659,216.02260994911194,217.06784927845,216.76504039764404,217.61466723680496,215.30717939138412,218.11469823122025,215.37344020605087,216.95047307014465,215.36036348342896,216.08490753173828,215.135358273983,214.2319108247757
-109,217.6852308511734,216.0447382926941,217.0723826289177,216.79116183519363,217.61475163698196,215.324404835701,218.13110554218292,215.3634279370308,216.94226056337357,215.40416258573532,216.08892440795898,215.14204293489456,214.28420174121857
-108,217.68764954805374,216.07401192188263,217.07545965909958,216.81387490034103,217.61648380756378,215.34661811590195,218.15140557289124,215.35034358501434,216.93088334798813,215.44469290971756,216.09278225898743,215.1532996892929,214.33257293701172
-107,217.69641828536987,216.10917347669601,217.0772983431816,216.83284264802933,217.620696246624,215.3722088932991,218.17554515600204,215.3363734483719,216.91669404506683,215.48070579767227,216.09594029188156,215.17031973600388,214.3750765323639
-106,217.7116784453392,216.14872163534164,217.07807421684265,216.84822982549667,217.6275573372841,215.3997020125389,218.2033487558365,215.32366007566452,216.9000701904297,215.51132655143738,216.09814327955246,215.1926879286766,214.41102647781372
